Trade Date,Maturity Date,Tenor,Face Value (GHS),Coupon Rate(%),AVG Price(%),Settlement Amount (GHS)
19/08/2010,03/11/2013,13s,10000000,14.99,0,0
20/08/2010,06/03/2013,13s,7000000,15.65,0,0
25/08/2010,15/12/2011,11s,100000,14.47,0,0
26/08/2010,14/01/2013,13s,6300000,19,0,0
26/08/2010,29/07/2013,13s,15000000,14.25,0,0
30/08/2010,14/01/2013,13s,5000000,19,0,0
07/09/2010,14/01/2013,13s,10760000,19,0,0
08/09/2010,14/01/2013,13s,500000,19,0,0
09/09/2010,29/07/2013,13s,2000000,14.25,0,0
13/09/2010,03/11/2013,13s,9000000,14.99,0,0
15/09/2010,14/01/2013,13s,500000,19,0,0
17/09/2010,14/01/2013,13s,3000000,19,0,0
17/09/2010,15/12/2011,11s,900000,14.47,0,0
20/09/2010,15/12/2011,11s,7900000,14.47,0,0
23/09/2010,14/01/2013,13s,2700000,19,0,0
23/09/2010,06/03/2013,13s,5000000,15.65,0,0
24/09/2010,03/07/2011,11s,4000000,14,0,0
27/09/2010,15/12/2011,11s,7000000,14.47,0,0
28/09/2010,14/01/2013,13s,3800000,19,0,0
01/10/2010,29/07/2013,13s,5000000,14.25,0,0
05/10/2010,03/11/2013,13s,2950000,14.99,0,0
05/10/2010,30/09/2013,13s,17849505,13.3,0,0
05/10/2010,29/07/2013,13s,3000000,14.25,0,0
06/10/2010,30/09/2013,13s,23335248,13.3,0,0
06/10/2010,06/11/2012,12s,750000,13.67,0,0
12/10/2010,30/09/2013,13s,14130000,13.3,0,0
13/10/2010,30/09/2013,13s,5000000,13.3,0,0
18/10/2010,12/10/2012,12s,180000,15,0,0
18/10/2010,29/07/2013,13s,7450000,14.25,0,0
18/10/2010,03/11/2013,13s,5480000,14.99,0,0
18/10/2010,15/12/2011,11s,100000,14.47,0,0
19/10/2010,15/12/2011,11s,100000,14.47,0,0
21/10/2010,14/01/2013,13s,40000,19,0,0
29/10/2010,29/07/2013,13s,280000,14.25,0,0
29/10/2010,03/11/2013,13s,1070000,14.99,0,0
03/11/2010,29/07/2013,13s,4000000,14.25,0,0
04/11/2010,29/07/2013,13s,630000,14.25,0,0
04/11/2010,14/01/2013,13s,14400000,19,0,0
04/11/2010,03/11/2013,13s,9310000,14.99,0,0
08/11/2010,06/11/2012,12s,3130000,13.67,0,0
10/11/2010,03/11/2013,13s,1140000,14.99,0,0
15/11/2010,30/09/2013,13s,8000000,13.3,0,0
24/11/2010,14/01/2013,13s,650000,19,0,0
26/11/2010,30/09/2013,13s,20000000,13.3,0,0
29/11/2010,30/09/2013,13s,4500000,13.3,0,0
30/11/2010,30/09/2013,13s,10000000,13.3,0,0
07/12/2010,03/11/2013,13s,4750000,14.99,0,0
09/12/2010,30/09/2013,13s,30483421,13.3,0,0
09/12/2010,05/02/2011,11s,650000,16,0,0
10/12/2010,12/10/2012,12s,5000000,15,0,0
10/12/2010,14/01/2013,13s,6000000,19,0,0
10/12/2010,03/11/2013,13s,1410000,14.99,0,0
10/12/2010,06/11/2012,12s,2450000,13.67,0,0
10/12/2010,30/09/2013,13s,6045000,13.3,0,0
13/12/2010,14/01/2013,13s,12000000,19,0,0
13/12/2010,30/09/2013,13s,4120000,13.3,0,0
15/12/2010,14/01/2013,13s,5000000,19,0,0
20/12/2010,30/09/2013,13s,455000,13.3,0,0
21/12/2010,30/09/2013,13s,180000,13.3,0,0
23/12/2010,29/07/2013,13s,2450000,14.25,0,0
30/12/2010,03/11/2013,13s,22250000,14.99,0,0
30/12/2010,29/07/2013,13s,3850000,14.25,0,0
30/12/2010,30/09/2013,13s,5800000,13.3,0,0
31/12/2010,30/09/2013,13s,4000000,13.3,0,0
07/01/2011,30/09/2013,13s,20000000,13.3,0,0
07/01/2011,15/12/2011,11s,19900000,14.47,0,0
10/01/2011,15/12/2011,11s,1100000,14.47,0,0
10/01/2011,14/01/2013,13s,5880000,19,0,0
10/01/2011,06/03/2013,13s,7580000,15.65,0,0
11/01/2011,30/09/2013,13s,29401494,13.3,0,0
11/01/2011,06/03/2013,13s,7220000,15.65,0,0
12/01/2011,30/09/2013,13s,15580000,13.3,0,0
12/01/2011,15/12/2011,11s,1100000,14.47,0,0
13/01/2011,30/09/2013,13s,16700000,13.3,0,0
14/01/2011,30/09/2013,13s,12100000,13.3,0,0
17/01/2011,14/01/2013,13s,5880000,19,0,0
18/01/2011,30/09/2013,13s,1620000,13.3,0,0
19/01/2011,30/09/2013,13s,3000000,13.3,0,0
20/01/2011,30/09/2013,13s,3580000,13.3,0,0
21/01/2011,14/01/2013,13s,20860000,19,0,0
21/01/2011,03/07/2011,11s,4000000,14,0,0
24/01/2011,14/01/2013,13s,11710000,19,0,0
24/01/2011,30/09/2013,13s,2720000,13.3,0,0
25/01/2011,14/01/2013,13s,12430000,19,0,0
25/01/2011,15/12/2011,11s,5000000,14.47,0,0
25/01/2011,30/09/2013,13s,5570000,13.3,0,0
26/01/2011,30/09/2013,13s,4430000,13.3,0,0
26/01/2011,14/01/2013,13s,16720000,19,0,0
26/01/2011,03/11/2013,13s,11500000,14.99,0,0
27/01/2011,05/02/2011,11s,650000,16,0,0
27/01/2011,03/11/2013,13s,9068000,14.99,0,0
27/01/2011,14/01/2013,13s,35830000,19,0,0
27/01/2011,06/03/2013,13s,5600000,15.65,0,0
27/01/2011,30/09/2013,13s,20350000,13.3,0,0
28/01/2011,14/01/2013,13s,14200000,19,0,0
28/01/2011,03/11/2013,13s,9000000,14.99,0,0
28/01/2011,29/07/2013,13s,10000000,14.25,0,0
31/01/2011,30/09/2013,13s,16267592,13.3,0,0
01/02/2011,30/09/2013,13s,14930000,13.3,0,0
02/02/2011,03/07/2011,11s,4000000,14,0,0
02/02/2011,03/11/2013,13s,750000,14.99,0,0
02/02/2011,30/09/2013,13s,560000,13.3,0,0
03/02/2011,03/11/2013,13s,864000,14.99,0,0
03/02/2011,29/07/2013,13s,998500,14.25,0,0
04/02/2011,30/09/2013,13s,20730000,13.3,0,0
04/02/2011,06/03/2013,13s,560000,15.65,0,0
04/02/2011,29/07/2013,13s,1040000,14.25,0,0
04/02/2011,03/07/2011,11s,6600000,14,0,0
04/02/2011,14/01/2013,13s,15000000,19,0,0
07/02/2011,30/09/2013,13s,32877260,13.3,0,0
07/02/2011,14/01/2013,13s,15000000,19,0,0
07/02/2011,03/11/2013,13s,3000000,14.99,0,0
08/02/2011,30/09/2013,13s,7802740,13.3,0,0
09/02/2011,03/11/2013,13s,3437721,14.99,0,0
10/02/2011,03/11/2013,13s,8507721,14.99,0,0
11/02/2011,14/01/2013,13s,17000000,19,0,0
14/02/2011,14/01/2013,13s,5000000,19,0,0
15/02/2011,14/01/2013,13s,5000000,19,0,0
15/02/2011,30/09/2013,13s,50000,13.3,0,0
18/02/2011,03/11/2013,13s,7762000,14.99,0,0
18/02/2011,14/01/2013,13s,5500000,19,0,0
21/02/2011,03/11/2013,13s,4400000,14.99,0,0
22/02/2011,29/07/2013,13s,5000000,14.25,0,0
22/02/2011,17/02/2014,14s,500000,13.45,0,0
22/02/2011,05/02/2011,11s,5000000,16,0,0
23/02/2011,17/02/2014,14s,44820000,13.45,0,0
24/02/2011,17/02/2014,14s,55270000,13.45,0,0
25/02/2011,30/09/2013,13s,4500000,13.3,0,0
25/02/2011,03/11/2013,13s,3250000,14.99,0,0
03/03/2011,03/11/2013,13s,6500000,14.99,0,0
04/03/2011,03/07/2011,11s,840000,14,0,0
09/03/2011,30/09/2013,13s,990000,13.3,0,0
09/03/2011,14/01/2013,13s,5000000,19,0,0
10/03/2011,06/03/2013,13s,2080000,15.65,0,0
10/03/2011,14/01/2013,13s,25766000,19,0,0
14/03/2011,06/11/2012,12s,5000000,13.67,0,0
15/03/2011,03/11/2013,13s,1600000,14.99,0,0
16/03/2011,03/11/2013,13s,4320000,14.99,0,0
16/03/2011,06/03/2013,13s,175000,15.65,0,0
16/03/2011,29/07/2013,13s,280000,14.25,0,0
17/03/2011,06/03/2013,13s,2280000,15.65,0,0
17/03/2011,29/07/2013,13s,6420000,14.25,0,0
18/03/2011,06/03/2013,13s,965000,15.65,0,0
21/03/2011,03/11/2013,13s,25150000,14.99,0,0
