Date/tenure,19s,20s,21s,22s,23s,24s,ESLA 24,25s,26s,27s,ESLA 27,28s,29s,ESLA 29,ESLA 31,31s,32s,33s,34s,39s,Total volumes traded,,,,,,,,,,,,,,,,,,,,,,
14/10/2019,5385001,57785421,111319343,8658517,2000000,6295230,3000000,6000000,4000000,,0,0,0,29000000,0,,4000000,,0,2000000,132066052,,,,,,,,,,,,,,,,,,,,,,
15/10/2019,5001446,92177225,55876050,9025848,6000000,40000000,3000000,2000000,10000000,,0,0,500000,29000000,0,,46000000,,96957,6000000,182835449,,,,,,,,,,,,,,,,,,,,,,
16/10/2019,279106,116376267,18278635,11523615,2000000,16010000,0,0,40000000,,723831,0,5000000,0,0,,0,,0,7000000,119123220,,,,,,,,,,,,,,,,,,,,,,
17/10/2019,30000000,160050000,9120491,33000000,8000000,7887000,0,0,4000000,,203100,0,6000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
18/10/2019,1453708,109234309,18499118,8922526,5000000,4962161,900000,9000000,28000000,,293910,0,669300,665000,0,,3000000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
21/10/2019,24000000,44761223,29236300,20000000,100534,21072048,0,2000000,4000000,,2000000,0,19000000,0,0,,10000000,,530288,495000,127624750,,,,,,,,,,,,,,,,,,,,,,
22/10/2019,720180,56379061,47569600,3051070,76256,11000000,570788,11000000,5000000,,5000000,710503,19000000,0,0,,35000000,,9647,976387,102365018,,,,,,,,,,,,,,,,,,,,,,
23/10/2019,13100498,63407995,43443111,7852609,224439,14834371,4000000,19000000,7000000,,7000000,0,3000000,0,0,,0,,0,3968775,180200319,,,,,,,,,,,,,,,,,,,,,,
24/10/2019,1846,68000000,21937146,4165474,4000000,33000000,0,19000000,12000000,,72950,50000000,8000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
25/10/2019,10000000,75115533,44254900,14000000,3193000,16349353,16000000,16000000,11000000,,18000000,0,5000000,0,0,,9000000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
28/10/2019,11130000,45719103,82830782,6449824,279163,15620464,94098,10070800,10260000,,2000000,50000000,5000000,0,0,,35000000,,44401,0,268605748,,,,,,,,,,,,,,,,,,,,,,
29/10/2019,135525,32000000,22546087,5397876,4000000,9000000,100000,0,1000000,,0,0,128482,10000000,0,,25000000,,5085723,0,270933291,,,,,,,,,,,,,,,,,,,,,,
30/10/2019,115183,61683527,77250000,249795,587647,24118481,3000000,15000000,20000000,,2000000,0,10000000,0,0,,0,,672477,3000000,233270718,,,,,,,,,,,,,,,,,,,,,,
31/10/2019,5000000,30165281,122988092,12000000,5000000,11134739,3000000,15000000,63000000,,0,0,5000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
01/11/2019,6259869,99064599,63895258,10724000,0,7000000,1868512,10461284,56900000,,4844511,0,0,12000000,0,,12275000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
04/11/2019,952598,59032384,72096864,2714587,272448,4512915,900000,10864946,68947,,462565,0,1200000,1000000,0,,22000000,,105610,0,240297064,,,,,,,,,,,,,,,,,,,,,,
05/11/2019,20485,18900713,233430238,1197537,4500000,141743788,6282000,6142146,10650000,,191325,0,0,162200,0,,0,,0,0,268260591,,,,,,,,,,,,,,,,,,,,,,
06/11/2019,10010000,77400917,33804259,5097421,10000000,36043325,6000000,32000000,744938,,558970,0,17000000,0,0,,0,,287151,0,222222183,,,,,,,,,,,,,,,,,,,,,,
07/11/2019,10002500,17691200,47946180,6173580,9000000,40584616,400000,11194831,10640700,,1000000,0,22000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
08/11/2019,10012100,99126134,47021484,0,12000000,64372785,4488997,4300000,382500,,11259855,0,7190400,0,0,,10000000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
11/11/2019,11000000,102547711,56308136,0,2550000,84668287,3278330,12106669,5585075,,0,0,15190400,345290,0,,0,,0,0,197863023,,,,,,,,,,,,,,,,,,,,,,
12/11/2019,1014483,97437722,30468785,1255500,10000000,85124801,2000000,15000000,0,,0,0,5000000,845290,0,,10053028,,47708,2000000,257225124,,,,,,,,,,,,,,,,,,,,,,
13/11/2019,0,41939141,6209786,688111,2751830,4847000,9582923,20429682,0,,802227,0,5000000,0,0,,0,,0,0,263912786,,,,,,,,,,,,,,,,,,,,,,
14/11/2019,600000,52602434,30352894,3393952,569917,20023796,8417077,13000000,3694233,,0,0,10000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
15/11/2019,1281886,57271573,413778480,11624832,0,13662035,0,29350615,0,,0,0,5000000,500000,0,,21874745,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
18/11/2019,0,76457831,56128815,8214938,20002290,3563321,0,4590411,2726093,,0,0,0,8000000,0,,75045004,,0,15000000,273004633,,,,,,,,,,,,,,,,,,,,,,
19/11/2019,47168,100412177,36721460,5694210,170000,14660749,0,10226148,20385086,,0,143700,5020000,1798220,0,,26910000,,0,9000000,304288112,,,,,,,,,,,,,,,,,,,,,,
20/11/2019,22085271,54768084,42893645,4765080,21030412,11235000,799129,3323063,14000000,,81167,0,0,0,0,,0,,46083,250000,261476316,,,,,,,,,,,,,,,,,,,,,,
21/11/2019,32299100,7938460,33093369,5865922,232897,27371675,26540077,12000000,16000000,,13861763,0,50409,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
22/11/2019,9765855,50298380,43970352,13278642,770622,22120000,2814772,9835675,10210000,,0,0,5000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
25/11/2019,980039,61583471,48665354,5608170,517642,15520070,741759,14766924,200000,,0,0,0,65000000,0,,68740000,,2000000,0,230659830,,,,,,,,,,,,,,,,,,,,,,
26/11/2019,1000,26665018,51555721,8528107,5890078,20713165,1192438,8273951,100000,,0,0,10000000,67000000,0,,13173707,,0,0,176978897,,,,,,,,,,,,,,,,,,,,,,
27/11/2019,12958,13188643,35376567,450938,0,13000000,0,2000000,1000000,,19305,0,12000000,0,0,,0,,0,0,271052573,,,,,,,,,,,,,,,,,,,,,,
28/11/2019,12642469,75505017,15841583,16196529,20775,26183645,30548524,18953312,7556231,,15661151,0,10000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
29/11/2019,7245959,39442073,21380066,5600259,0,30769521,5378930,4116634,0,,3267897,5000,10000000,65000000,0,,4809644,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
02/12/2019,2000000,95560966,2246160,9431,0,13850000,,2280000,4000000,,250000,0,0,0,0,,126811,,0,1000000,117897478,,,,,,,,,,,,,,,,,,,,,,
03/12/2019,0,49924551,542602780,3171193,100000,50159255,0,559031,4000000,,75000,0,45462,0,0,,2832522,,14156,0,225713463,,,,,,,,,,,,,,,,,,,,,,
04/12/2019,1000000,31721118,207169902,1035022,100000,84000000,22498,3000000,3000000,,0,1000000,0,0,0,,0,,4929978,0,565607619,,,,,,,,,,,,,,,,,,,,,,
05/12/2019,0,44058317,58481716,388750,0,13167547,22498,15206374,10293999,,0,0,10000000,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
09/12/2019,0,43549556,73204632,540000,7818,8000000,112972,17000000,6000000,,0,0,8000000,0,0,,2590000,,1474375,0,176455226,,,,,,,,,,,,,,,,,,,,,,
10/12/2019,0,93256856,3446940,328300,20000000,15000000,0,27000000,28000000,,0,0,8000000,0,0,,0,,0,0,308993672,,,,,,,,,,,,,,,,,,,,,,
11/12/2019,6463,38428289,79006780,3406662,1000000,32000000,41000000,22000000,4000000,,17000000,0,0,0,0,,0,,0,0,248238005,,,,,,,,,,,,,,,,,,,,,,
12/12/2019,46500,128785783,77179957,30530000,299861,33000000,0,39000000,2000000,,850000,220460,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
13/12/2019,0,63204968,201730600,30000000,5000000,29291779,0,10000000,18000000,,0,220460,0,0,0,,3000000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
16/12/2019,0,94504755,117549028,27000000,10000000,41000000,647021,15175762,15000000,,0,0,9000000,980572,0,,3000000,,5000000,0,86048411,,,,,,,,,,,,,,,,,,,,,,
17/12/2019,0,133805704,121215111,16140000,18000000,9100000,41000000,713093,24000000,,17000000,0,9000000,658167,0,,0,,0,0,229236047,,,,,,,,,,,,,,,,,,,,,,
18/12/2019,0,12159225,53714016,23020000,1000000,16000000,2000000,11000000,12000000,,5000000,0,0,0,0,,0,,0,977998,131016859,,,,,,,,,,,,,,,,,,,,,,
19/12/2019,0,20707680,39803632,11195247,10997599,24632951,0,6335196,5285771,,4724951,0,0,0,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
20/12/2019,0,27270651,42998829,28105285,18815051,3983882,682043,3790415,35397981,,3124900,0,0,0,0,,24000000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
23/12/2019,0,36075929,89578985,104831894,5620068,66250042,682043,14950000,5060000,,544900,109000,0,0,0,,0,,0,0,346048540,,,,,,,,,,,,,,,,,,,,,,
24/12/2019,1991,70246989,60832714,23668279,5718777,26898320,281200,18111348,5010000,,250000,80000,1147500,0,0,,72735,,9611,4951194,159170006,,,,,,,,,,,,,,,,,,,,,,
27/12/2019,0,19388438,38642769,6995609,4240985,30230491,270000,30910227,71102562,,0,0,0,3633174,0,,39365,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
30/12/2019,0,2241852,107941407,27357192,3720985,35445046,0,5346031,0,,0,0,0,0,0,,0,,0,0,237848194,,,,,,,,,,,,,,,,,,,,,,
31/12/2019,0,49530992,66136515,6729583,0,26294580,1210527,11588599,0,,120000,10418,0,1377629,0,,101524,,0,0,315893133,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,0,27878160,6522124,6954443,2542328,2530000,0,0,70000,,0,0,0,3019162,0,,11245,,0,2664999,52192461,,,,,,,,,,,,,,,,,,,,,,
03/01/2020,0,5265378,33318371,19596191,0,4998233,0,1211500,33000000,,0,39395,0,0,0,,0,,5283917,4391595,107104580,,,,,,,,,,,,,,,,,,,,,,
06/01/2020,0,21078861,71672713,14000000,7000000,7000000,0,3865117,100000,,0,0,0,2000000,0,,4918,,6000000,0,132721609,,,,,,,,,,,,,,,,,,,,,,
08/01/2020,0,37451531,73492889,6324721,4054633,13575999,1469199,6000000,5000000,,0,50000,280000,0,0,,2000000,,6529751,5351679,161580402,,,,,,,,,,,,,,,,,,,,,,
09/01/2020,0,23010119,113186342,5398797,19000000,19000000,1000000,48000000,0,,0,67317,0,10000000,0,,2000000,,5000000,4000000,249662575,,,,,,,,,,,,,,,,,,,,,,
10/01/2020,0,16054629,84044133,200000,3018729,6880173,605792,49300879,1000000,,0,0,0,10000000,0,,97469,,494799,1264947,172961550,,,,,,,,,,,,,,,,,,,,,,
13/01/2020,0,116409198,300260866,43000000,38000000,32000000,0,70000000,8000000,,685236,195944,1000000,0,0,,1000000,,0,857703,611408947,,,,,,,,,,,,,,,,,,,,,,
14/01/2020,0,90642910,70118738,70628187,5014998,46575479,1698698,41719840,0,,4000000,170000,0,0,0,,1120846,,57671,0,331747367,,,,,,,,,,,,,,,,,,,,,,
15/01/2020,0,82146652,56926841,48000000,7400000,40000000,2000000,27000000,6000000,,15000000,0,0,711000,0,,19644,,0,0,285204137,,,,,,,,,,,,,,,,,,,,,,
16/01/2020,0,76892766,78223888,27000000,0,25000000,0,29000000,5000000,,4000000,55886,100000,711000,0,,96556,,12899,4000000,250092995,,,,,,,,,,,,,,,,,,,,,,
17/01/2020,0,29343501,21976922,16100000,5000000,46000000,102866,29000000,86000,,0,212168,10000000,0,0,,0,,1000000,933430,159754887,,,,,,,,,,,,,,,,,,,,,,
20/01/2020,0,171788531,27930026,82441000,220260000,7000000,6000000,19000000,0,,450427,0,10000000,6000000,0,,494451,,1000000,0,552364435,,,,,,,,,,,,,,,,,,,,,,
21/01/2020,0,165126357,104075694,52000000,732391198,9014071,4000000,11000000,5000000,,0,280791,0,7000000,0,,762173,,280000,2000000,1092930284,,,,,,,,,,,,,,,,,,,,,,
22/01/2020,0,95179684,28027165,66000000,136823528,3000000,500000,4000000,5000000,,12000000,0,0,0,0,,0,,0,27000000,377530377,,,,,,,,,,,,,,,,,,,,,,
23/01/2020,0,128821987,29481092,43061357,33353795,15000000,395900,164372,0,,14107,0,0,465000,0,,257390,,1000000,0,252015000,,,,,,,,,,,,,,,,,,,,,,
24/01/2020,0,87257401,57638872,27701027,34352176,101066100,0,8000000,5000000,,0,0,0,0,30000000,,43534,,0,0,351059110,,,,,,,,,,,,,,,,,,,,,,
27/01/2020,0,37327000,97928553,66700000,311386911,8000000,0,10092873,6000000,,0,432041,0,0,0,,14488,,14000000,0,551881866,,,,,,,,,,,,,,,,,,,,,,
28/01/2020,0,151416404,81180338,15164088,82307938,0,0,11000000,10000000,,653230,100000,200000,600000,0,,58902,,736195,0,353417095,,,,,,,,,,,,,,,,,,,,,,
29/01/2020,0,65237654,20404314,12217629,19642045,58000000,0,12073491,4000000,,0,116773,260000,2000000,0,,9504,,51278,20000000,214012688,,,,,,,,,,,,,,,,,,,,,,
30/01/2020,0,36265403,22503597,3335116,30747247,21054599,0,66000000,5000000,,12000000,67283,0,4000000,0,,4000000,,485037,0,205458282,,,,,,,,,,,,,,,,,,,,,,
31/01/2020,0,74451805,55738957,50220461,95762498,15455000,7000000,72000000,21000000,,386193,0,100000,10000000,0,,703346,,52514,0,402870774,,,,,,,,,,,,,,,,,,,,,,
03/02/2020,0,67570453,23592972,45724278,314727364,11010007,0,9000000,5000000,,0,0,0,5000000,0,,6000000,,0,0,487625074,,,,,,,,,,,,,,,,,,,,,,
04/02/2020,0,64775504,85714904,25649623,156793717,12258000,10000000,12000000,170000,,857000,0,300000,6000000,0,,4000000,,533301,250000,379302049,,,,,,,,,,,,,,,,,,,,,,
05/02/2020,0,37522765,238164953,15727618,156847000,7009611,4000000,1114950,7000000,,0,5000,10000,236368,2424014,,17309,,0,0,470079588,,,,,,,,,,,,,,,,,,,,,,
06/02/2020,0,23344940,181367430,28000000,106000000,4000000,4000000,10038141,806026,,0,0,0,102537,0,,10500,,102669,0,357772243,,,,,,,,,,,,,,,,,,,,,,
07/02/2020,0,77873366,19249643,23533350,170747317,2255948,206000,670241,6530881,,900000,0,0,199948,0,,0,,0,0,302166694,,,,,,,,,,,,,,,,,,,,,,
10/02/2020,0,41779988,170725973,6647288,104051427,2000000,0,5000000,1000000,,0,0,0,2000000,2700000,,23976,,0,0,335928652,,,,,,,,,,,,,,,,,,,,,,
11/02/2020,0,8846443,95000000,7017247,41000000,2000000,0,7000000,6000000,,0,0,0,1000000,0,,66959,,202284,140088,168273021,,,,,,,,,,,,,,,,,,,,,,
12/02/2020,0,119850449,95114273,55955960,48000000,0,0,0,20000000,,0,100000,0,0,0,,9560,,0,0,339030242,,,,,,,,,,,,,,,,,,,,,,
13/02/2020,0,13345289,61091636,33766329,25300000,11000000,0,10000000,16000000,,0,50000,0,0,0,,0,,605510,0,171158764,,,,,,,,,,,,,,,,,,,,,,
14/02/2020,0,7854421,70088747,30393117,11780409,10612661,0,8881193,146911,,0,0,0,256000,250000,,0,,11997,0,140275456,,,,,,,,,,,,,,,,,,,,,,
17/02/2020,0,19417191,39526960,42781978,18000000,10000000,200000,0,3000000,,0,0,0,0,0,,0,,6000000,0,138926129,,,,,,,,,,,,,,,,,,,,,,
18/02/2020,0,53070770,46219860,120504315,141481,795207,0,5678667,4000000,,0,0,0,0,0,,0,,0,0,230410300,,,,,,,,,,,,,,,,,,,,,,
19/02/2020,0,22229230,43719917,44341007,17000000,5300000,0,5173513,20000000,,0,0,0,0,153440,,0,,268002,0,158185109,,,,,,,,,,,,,,,,,,,,,,
20/02/2020,0,13244435,51000000,6752271,21000000,3000000,0,3000000,15000000,,0,0,0,0,0,,0,,29762,0,113026468,,,,,,,,,,,,,,,,,,,,,,
21/02/2020,0,88193807,85165587,37373624,35000000,14000000,5000000,8000000,5000000,,6000000,0,0,0,0,,0,,146670,0,283879688,,,,,,,,,,,,,,,,,,,,,,
24/02/2020,0,54828865,72131552,34247209,16000000,5000000,6000000,40100000,3000000,,0,0,0,0,0,,3000000,,0,0,234307626,,,,,,,,,,,,,,,,,,,,,,
25/02/2020,0,132003628,50664849,22044204,18000000,13200000,0,103423,5000000,,0,0,0,25000000,0,,0,,112997,0,266129101,,,,,,,,,,,,,,,,,,,,,,
26/02/2020,0,213495972,69157747,7438318,2028743,3222541,478800,5287833,90000,,0,0,0,12000000,0,,12229,,0,47000,313259183,,,,,,,,,,,,,,,,,,,,,,
27/02/2020,0,24339238,48710049,7156236,17026000,2806156,0,13000000,6000000,,0,0,0,186950,5876486,,0,,45467,0,125146582,,,,,,,,,,,,,,,,,,,,,,
28/02/2020,0,50469984,131386057,39120093,40000000,865062,25000000,5000000,5000000,,0,0,154000000,8000000,0,,0,,0,0,458841196,,,,,,,,,,,,,,,,,,,,,,
02/03/2020,0,16274236,59630546,52267665,17000000,4680156,0,55000000,2000000,,0,0,44000000,396941,0,,0,,0,0,251249544,,,,,,,,,,,,,,,,,,,,,,
03/03/2020,0,30019608,76232659,20678250,29000000,403242,13000000,15000000,30000000,,5000000,0,35000000,646941,0,,0,,11000000,12000000,277980700,,,,,,,,,,,,,,,,,,,,,,
04/03/2020,0,141539695,101913916,16591294,27275712,828785,0,10104115,14000000,,0,0,40000000,0,4665582,,0,,0,0,356919099,,,,,,,,,,,,,,,,,,,,,,
05/03/2020,0,119569101,87320409,25227007,49310000,8913797,27000000,39000000,7000000,,0,0,0,0,9331164,,28926,,296115,0,372996519,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,0,38578192,118221347,10362944,120800000,8000000,3000000,63000000,6000000,,1000000,10550,0,0,0,,152873,,637636,0,369763542,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,0,81229014,127950020,2880505,161927683,10000000,83200,77000000,9000000,,0,0,0,0,0,,0,,216579,688421,470975422,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,0,51173610,76944770,13462946,177002316,50442881,0,36043679,11000000,,0,0,2000000,0,4644750,,0,,9839,5000000,427724791,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,0,48000000,67330664,17792574,61142664,6000000,0,32000000,6000000,,0,0,2000000,6000000,4644750,,100000,,0,2000000,253010652,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,0,67061788,90120250,25714732,30124324,12058153,11000000,32000000,11000000,,0,0,2000000,2000000,0,,0,,0,0,283079247,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,0,42000000,64409119,12000000,27035595,83000000,0,36000000,6000000,,0,0,0,0,2019053,,147875,,5000000,19968,277631610,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,0,90348320,61852333,10229554,17724350,7000000,94620,28000000,7000000,,0,0,0,0,2019053,,9435,,0,0,224277665,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,0,104988582,38622572,20479809,17862121,15000000,0,15000000,5000000,,0,0,0,0,0,,0,,0,0,216953084,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,0,69323721,84330560,14762693,84129837,30000000,0,24000000,27000000,,0,0,42000,0,0,,0,,0,6000000,339588811,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,0,38826514,91286597,5603971,124609278,10000000,0,39000000,25000000,,0,0,0,2000000,38137027,,2000000,,9970,0,376473357,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,0,79270323,200069490,51107683,110272064,17000000,0,69640000,56000000,,0,0,0,2000000,0,,0,,69680,4000000,589429240,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,0,95166456,340100000,33296315,150000000,12093620,0,31000000,33000000,,0,0,0,386290,0,,6000000,,9926,995335,702047942,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,0,59049222,267110322,36218215,96000000,12246230,0,6000000,20000000,,602220,0,0,524958,0,,7000000,,0,0,504751167,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,0,79305114,163525698,87125153,83000000,24000000,0,2199432,18000000,,696432,0,0,247622,0,,7000000,,9000000,0,474099451,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,0,58549551,178180058,63000000,83000000,12950000,0,12000000,38000000,,0,0,0,979228,0,,0,,0,3000000,449658837,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,0,17205337,80497737,10797701,8965418,2311006,0,12761211,20000000,,1000000,0,0,,0,,14018,,0,5000000,158552428,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,0,38294090,60163904,17074907,105782707,3407000,27800,15000000,48000000,,3000000,0,100000,2000000,0,,5000000,,5000000,976387,303826795,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,0,52632003,204680240,2100638,28187889,5622135,0,158392997,9165850,,451408,0,0,2000000,0,,390034,,0,0,463623194,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,0,90218380,54543986,3243765,148884798,2427075,0,2765058,0,,3545613,0,0,305120,1788077,,390034,,4258336,2822898,315193140,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,0,21133000,70503946,13253898,158673108,107298780,0,4791773,79749,,946076,0,1000000,628782,25748123,,53089,,101639,6419338,410631301,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,0,8820777,126215861,30872104,59648203,45768581,0,16593403,30000,,493492,0,0,620062,0,,0,,0,1981536,291044019,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,0,26548364,93706793,60947076,66147113,90858111,0,48084564,34481,,0,0,0,0,21500000,,105000,,205531,0,408137033,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,0,20982366,99820907,20797431,69528991,58457368,0,39699236,12150000,,0,0,0,1522000,21500000,,47648,,40106,9940563,354486616,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,0,60055131,156287930,9860536,126594229,40777594,0,42264770,21400,,0,6715,0,475596,3209132,,0,,0,4018162,443571195,,,,,,,,,,,,,,,,,,,,,,
14/04/2020,0,22094890,72771987,7236253,124799284,18990274,0,618293194,0,,1373518,0,0,111700,500000,,0,,29252,5778895,871979247,,,,,,,,,,,,,,,,,,,,,,
15/04/2020,0,21925729,56246040,100944767,174102681,3300143,0,11335581,8000000,,38595,0,0,0,0,,0,,63361,1386512,377343409,,,,,,,,,,,,,,,,,,,,,,
16/04/2020,0,26028875,55923824,19168421,210919055,115952500,0,31494495,8019759,,0,0,4916850,12000000,27499210,,0,,2485762,104710,514513461,,,,,,,,,,,,,,,,,,,,,,
17/04/2020,0,19384035,15648294,47601103,196468768,108613500,2479957,67791383,9644743,,0,0,4916850,4930532,30500000,,0,,423479,933430,509336074,,,,,,,,,,,,,,,,,,,,,,
20/04/2020,0,11946707,84351308,73660335,274375278,100433470,2592037,15560213,21224000,,0,0,1446850,4000000,5267561,,0,,1861319,0,596719078,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,0,13822335,99423477,121756602,134221216,67781262,0,20638010,28041156,,7000,0,2446850,9310096,5000000,,0,,9719,0,502457723,,,,,,,,,,,,,,,,,,,,,,
22/04/2020,0,35472176,209107938,45150134,38785666,50929005,20000,5257000,56982000,,519771,0,3390784,1148383,0,,8131,,1057465,10339744,458168197,,,,,,,,,,,,,,,,,,,,,,
23/04/2020,0,33459740,204044837,29158695,106847923,15833157,0,18413259,52509880,,519771,0,0,1148383,1000000,,1046391,,0,0,463982036,,,,,,,,,,,,,,,,,,,,,,
24/04/2020,0,37033304,167933598,38326053,39127767,25851042,0,2545088,45102410,,958213,0,2195000,154218,20000,,819649,,0,0,360066342,,,,,,,,,,,,,,,,,,,,,,
27/04/2020,0,38007732,100104055,6177139,8270763,13095192,0,16925445,10999999,,0,0,0,0,0,,2483382,,0,0,196063707,,,,,,,,,,,,,,,,,,,,,,
28/04/2020,0,51825078,64144106,95362623,16335612,12011163,7182,92240845,196304,,4317686,0,0,0,150000,,263635,,0,0,336854234,,,,,,,,,,,,,,,,,,,,,,
29/04/2020,0,29777938,127196060,120086885,37976577,85583265,0,37552246,22808598,,1352952,0,5468000,5571719,10038000,,57412,,0,500000,483969652,,,,,,,,,,,,,,,,,,,,,,
30/04/2020,0,59500810,82494106,41459178,84455298,38936002,960814,13212056,64421955,,7855612,0,5468000,17804149,30345925,,0,,0,600000,447513905,,,,,,,,,,,,,,,,,,,,,,
04/05/2020,0,32037890,119287304,100502201,80827315,2898143,960814,80813817,73818000,,5788459,0,5468000,0,213500,,0,,0,0,502615443,,,,,,,,,,,,,,,,,,,,,,
05/05/2020,0,40745007,30183531,51363131,40617969,131046,200000,310449,12487418,,2092282,0,0,405786,251200,,0,,49255,0,178837074,,,,,,,,,,,,,,,,,,,,,,
06/05/2020,0,74302344,76687929,77813861,88267049,12215096,0,15454506,63116437,,1900274,0,0,0,0,,61000000,,0,0,470757496,,,,,,,,,,,,,,,,,,,,,,
07/05/2020,0,61053867,119563169,27307937,89381074,39155582,0,10320040,0,,4000000,0,2892020,26619,6115,,0,,0,0,353706423,,,,,,,,,,,,,,,,,,,,,,
08/05/2020,0,39200974,69892884,17287676,18832132,47499234,5000000,5249721,6846022,,526749,0,5784040,10010739,812699,,0,,0,0,226942870,,,,,,,,,,,,,,,,,,,,,,
11/05/2020,0,34779826,80182567,183170892,61082477,28008804,89263,106130529,17579141,,1305500,50000,0,0,16443321,,61000000,,0,0,589822320,,,,,,,,,,,,,,,,,,,,,,
12/05/2020,0,67597697,73133360,87069640,84687757,695812,0,319884022,26897186,,0,0,0,238197,0,,353196,,0,0,660556867,,,,,,,,,,,,,,,,,,,,,,
13/05/2020,0,7479001,123986973,75364949,114682714,3143908,0,102876020,17583900,,0,0,0,0,10736910,,55051291,,0,0,510905666,,,,,,,,,,,,,,,,,,,,,,
14/05/2020,0,58663498,96276437,41184957,85097650,2971854,0,110268897,34887494,,421134,0,0,10833500,992337,,703163,,0,0,442300921,,,,,,,,,,,,,,,,,,,,,,
15/05/2020,0,63261193,156035101,15959538,101611672,31366845,0,6099990,36602013,,4143278,0,3200000,3989684,1120692,,607813,,0,0,423997819,,,,,,,,,,,,,,,,,,,,,,
18/05/2020,0,37422495,132234820,15516704,73070344,7664934,0,7520000,21999510,,17596258,0,2100000,429684,28035802,,1014120,,0,0,344604671,,,,,,,,,,,,,,,,,,,,,,
19/05/2020,0,97479601,156269066,27046139,161399986,8529000,0,14510000,4844043,,7434080,0,0,2084178,13806203,,0,,0,0,493402296,,,,,,,,,,,,,,,,,,,,,,
20/05/2020,0,101104700,133347155,45237934,67161186,919496,616402,21894949,3000978,,0,0,155000000,2858621,2237277,,55000000,,0,0,588378698,,,,,,,,,,,,,,,,,,,,,,
21/05/2020,0,65150377,142878664,58463698,61567576,9100000,316402,9714847,22418985,,1308815,0,97197516,0,1820950,,0,,0,0,469937830,,,,,,,,,,,,,,,,,,,,,,
22/05/2020,0,48612738,108186949,42765945,63312490,59603885,0,32887035,63034110,,5794841,0,146999999,619440,23018078,,0,,0,0,594835510,,,,,,,,,,,,,,,,,,,,,,
26/05/2020,0,138086794,37862922,46148253,36075931,52134670,0,9544219,54925406,,2819212,0,57000000,0,569320,,570000,,0,0,435736727,,,,,,,,,,,,,,,,,,,,,,
27/05/2020,0,28456566,46184866,63371430,58838091,36777732,0,8107162,18121854,,7199369,0,10000000,1360988,2000,,570000,,10528,0,279000586,,,,,,,,,,,,,,,,,,,,,,
28/05/2020,0,47354400,65440336,72904849,16898164,44232611,0,41874918,20931349,,0,0,42000000,0,105500,,80000,,0,0,351822127,,,,,,,,,,,,,,,,,,,,,,
29/05/2020,0,16027902,65448840,51030308,32303629,39518687,0,12080240,31379281,,3778113,0,67188164,0,81107577,,148749,,11293422,0,411304912,,,,,,,,,,,,,,,,,,,,,,
