Date,Institution,91D,182D,364D,2Yr,3Yr,5Yr,6Yr,7Yr,10Yr,15Yr,20Yr,7Yr ESLA,10Yr ESLA,12Yr ESLA,Total
01/05/2019,Firms/Inst,1621358652,1337420877,664924534,2823423822,2768210723,1950312169,273293857,611189743,468826092,55163190,,643975941,886962373,,14105061973
01/05/2019,Insurance companies,9748638,87136345,2294115,90805306,101274150,73760145,22694019,55409500,55966532,,,35404100,50382317,,584875167
01/05/2019,Foreign investors,137687,239021,210279,1542375296,3953862333,8549870293,87661286,1861441817,5274684711,4013251300,,29382242,,,25313116265
01/05/2019,rural banks,260233759,124840432,21910590,53462064,11482969,7333135,,,,,,,3993972,,483256921
01/05/2019,SSNIT,98027,343954,35102000,67314400,24266550,2000000,35080000,8000000,,,,189759285,120112000,,482076216
01/05/2019,Pension,,,57795062,492677257,502634188,733339304,53214511,334789470,1639226883,619224696,,199503702,306601101,,4939006174
01/05/2019,others,4391426650,881189272,123203607,758885003,434999594,276483993,297875127,79566191,36487653,94196509,,133073777,681673355,,8189060731
01/05/2019,Total,6662338468,3469506342,2836821652,12704511287,10785560268,13722744826,1248734816,3258128844,7861167635,4793780961,0,2408626000,3256094463,,73008015562
01/06/2019,BoG,91696705,14577676,60753695,120005990,77926414,190250000,880000,,2432837,,,168663534,,,727186851
01/06/2019,Commercial Banks,519400495,1095474120,2545398818,6705854259,3450312105,2024334322,466365522,338714988,452554144,36945266,,993066820,1285896160,,19914317019
01/06/2019,Firms/Inst,1579135716,1315889262,932424923,2828773346,2783440216,1973290027,285897526,582262120,687988760,65163190,,576787386,1295632209,,14906684681
01/06/2019,Insurance companies,9927650,86920683,3466447,83398778,98664301,73760145,22694019,55409500,68966532,,,35404100,50382317,,588994472
01/06/2019,Foreign investors,93005,165383,210279,1549340829,3985979939,8290899013,104661286,1864970524,5408684711,3978251300,,29382242,,,25212638511
01/06/2019,rural banks,249882960,123407766,25616780,56089999,13939113,9220917,,,,,,,2912538,,481070073
01/06/2019,SSNIT,16216389,3138228,21754295,47153600,24270550,10000000,,9993300,20000000,,,124417041,111033000,,387976403
01/06/2019,Pension,,,60034568,449219815,524815653,738930988,54815734,331151170,1678616883,619224696,,200177817,306119158,,4963106482
01/06/2019,others,4524226738,900682172,144051942,770884171,446211977,312059414,313420729,75627242,45872310,94196509,,131667996,688457682,,8447358882
01/06/2019,Total,6990579658,3540255290,3793711747,12610720787,11405560268,13622744826,1248734816,3258128844,8365116177,4793780961,0,2259566936,3740433064,,75629333374
01/07/2019,BoG,133432061,3730084,21405032,109733490,72591121,180250000,880000,,2432837,,,177245495,5000000,,706700120
01/07/2019,Commercial Banks,458878676,1064021152,2861525198,6480712405,3786960161,2659679186,832447519,501343372,451929806,325755139,,1043174234,1343155546,,21809582394
01/07/2019,Firms/Inst,817239959,1351024763,1247597608,2873043401,2787698852,2111931228,307091731,447741852,692108760,101933317,,563511473,1222930989,,14523853933
01/07/2019,Insurance companies,9551230,83469617,3466447,89638767,100526701,81721745,23694019,55409500,68966532,1085000,,35789032,51932317,,605250907
01/07/2019,Foreign investors,61983,98814,210279,1564023232,4067836116,8663103113,244703286,1856090524,5394824711,4069710300,,29382242,,,25890044600
01/07/2019,rural banks,244098821,113582327,30697554,56024199,13939113,11652500,,,,,,,994917,,470989431
01/07/2019,SSNIT,5543611,2534541,12444295,67506700,49366550,3543619,,9993300,20000000,,,82892681,100000000,,353825297
01/07/2019,Pension,,,61869693,450265815,527499863,753906477,54815734,316482506,1686545819,623544696,,200345625,306538077,,4981814305
01/07/2019,others,4516012640,940995531,174367501,849214078,458964777,383213548,317102527,71067790,48307712,95508009,,127226154,709881218,,8691861485
01/07/2019,Total,6184818981,3559456829,4413583607,12540162087,11865383254,14849001416,1780734816,3258128844,8365116177,5217536461,0,2259566936,3740433064,,78033922472
01/08/2019,BoG,54636469,38723664,21879386,123152351,67559121,185250000,10000,5000000,7432837,1900000,,200787943,5000000,,711331771
01/08/2019,Commercial Banks,451330266,1092391611,3433352610,6499287188,3761033146,2422998787,789867175,1369506243,443675504,323782061,119837000,953537498,1680814146,,23341413235
01/08/2019,Firms/Inst,901207011,1290076606,1308195908,2847874475,2854261606,2381738753,337562718,453351858,703424634,157190244,30927057,603773591,885005967,,14754590428
01/08/2019,Insurance companies,10065244,79457962,7463388,91288452,100526701,82721745,36925019,55409500,68966532,1085000,,35789032,51932317,,621630892
01/08/2019,Foreign investors,72158,464930,210279,1512405599,4033076638,8569074739,229703286,1857156693,5348734197,4076096300,10000000,29382242,,,25666377061
01/08/2019,rural banks,248965640,115985835,38269496,56024199,13939113,12579839,,,,,,,994917,,486759039
01/08/2019,SSNIT,2421229,4094140,65836610,50874156,29417550,10000000,,7262300,20000000,,,92714223,100000000,,382620208
01/08/2019,Pension,369400,,62494670,442936451,528054914,755235044,54815734,312168909,1694438014,641531290,80000,203442367,306546077,,5002112870
01/08/2019,others,4600206690,944009430,250523818,889405591,477514465,429402509,331850884,83578978,78444459,113066666,1287500,140140040,710139640,,9049570670
01/08/2019,Total,6269274107,3565204178,5188226165,12513248462,11865383254,14849001416,1780734816,4143434481,8365116177,5314651561,162131557,2259566936,3740433064,,80016406174
01/09/2019,BoG,3810327,1626386,1780384,110765234,102563121,165250000,10000,,2744962,20009500,,210404567,,,618964481
01/09/2019,Commercial Banks,661573500,1139261813,3569787831,6937557567,3330726239,2414206970,808032710,1385498705,528814870,304505622,76380944,886156014,1656812727,,23699315512
01/09/2019,Firms/Inst,955655409,1107643417,1352925624,2816939743,2878766775,2520156271,336350578,444870537,807526657,157392953,35802510,688899172,848235087,,14951164733
01/09/2019,Insurance companies,8901897,82331939,10407438,80133015,70215809,82721745,36925019,55409500,105293865,1085000,,35789032,51932317,,621146576
01/09/2019,Foreign investors,126570,456296,221976,1492539205,4132395741,8490958544,229703286,1858761413,5370234197,4074604300,10000000,29382242,,,25689383770
01/09/2019,rural banks,234151451,114603906,39920442,58783068,12405178,11079401,,,,489891,1955861,,994917,,474384115
01/09/2019,SSNIT,3694050,4748877,64078627,48808369,29454550,10000000,,7262300,19689837,,,65230063,125740685,,378707358
01/09/2019,Pension,369400,,63025236,440855721,529264578,774027664,54815734,299594086,1730842306,641531290,3897282,203520002,307874032,,5049617331
01/09/2019,others,4648258189,936798234,300755618,952722284,358628170,440900837,314897489,92037940,99969483,115033005,34094960,140185844,748843299,,9183125352
01/09/2019,Total,6516540793,3387470868,5402903176,12939104206,11444420161,14909301432,1780734816,4143434481,8665116177,5314651561,162131557,2259566936,3740433064,,80665809228
01/10/2019,BoG,3673141,35888238,1042977,1533276,102563121,165250000,10000,,2434799,250000000,,57028843,,,619424395
01/10/2019,Commercial Banks,724985367,1135901844,3640578451,5721226745,4019628744,2367162645,808413601,1647293537,531470299,537056388,66093735,1004257635,1596436891,,23800505882
01/10/2019,Firms/Inst,1092046289,970888273,1379558171,2683117093,3070333466,2557516039,337699931,549068778,819682000,162662504,37219801,680359645,884944215,,15225096205
01/10/2019,Insurance companies,9885689,77937134,11382438,81739267,70450779,85297837,36925019,66694131,105293865,1085000,,35789032,51932317,,634412508
01/10/2019,Foreign investors,253050,377928,221976,1495021476,4125038614,8526696544,222203286,1904671413,5339064197,4075604300,10495000,29382242,,,25729030026
01/10/2019,rural banks,248411898,124732979,45074316,37383174,57231797,9111003,,,,489891,4884923,,994917,,528314898
01/10/2019,SSNIT,3687108,5911547,65444395,59046168,32138550,10000000,,7262300,310163,,,105677224,120111500,,409588955
01/10/2019,Pension,369400,,64186689,435657278,546666428,784600933,54899164,315781253,1732538523,660004290,3897282,205268955,332153938,,5136024133
01/10/2019,others,4681704153,946884130,332349121,858068492,400038982,463666431,320583815,90030626,134322331,125749188,39540816,141803360,753859286,,9288600731
01/10/2019,Total,6765016095,3298522073,5539838534,11372792969,12424090481,14969301432,1780734816,4580802038,8665116177,5812651561,162131557,2259566936,3740433064,,81370997733
01/11/2019,BoG,4082855,1110716,1734349,2078276,102643121,165250000,10000,,2434799,265085000,,57028843,,,601457959
01/11/2019,Commercial Banks,766728797,1063316648,3848917429,5436737340,4149219026,2740964338,813605372,1684169587,494596624,459871030,65254527,1119002406,1409194478,,24051577602
01/11/2019,Firms/Inst,1207797754,976997148,1426033138,2950982328,3087665446,2414568395,315505614,544378700,813434607,163131211,38059009,591207963,969803646,,15499564959
01/11/2019,Insurance companies,11199440,77956752,11382438,68480511,71950779,85297837,36925019,66694131,102693865,27001000,,35789032,51932317,,647303121
