Trade Date,Currency,Pairs code,Buying,Selling,Mid Rate,
11-Feb-16,Pound Sterling,GBPGHS,5.6086,5.6159,5.6123,
11-Feb-16,Euro,EURGHS,4.3913,4.3946,4.393,
15-Feb-16,USD,USDGHS,3.8786,3.8824,3.8805,
15-Feb-16,Pound Sterling,GBPGHS,5.598,5.6039,5.601,
15-Feb-16,Euro,EURGHS,4.3204,4.3226,4.3215,
16-Feb-16,USD,USDGHS,3.8745,3.8785,3.8765,
16-Feb-16,Pound Sterling,GBPGHS,5.5382,5.5447,5.5415,
16-Feb-16,Euro,EURGHS,4.3163,4.3193,4.3178,
17-Feb-16,USD,USDGHS,3.884,3.888,3.886,
17-Feb-16,Pound Sterling,GBPGHS,5.5351,5.5423,5.5387,
17-Feb-16,Euro,EURGHS,4.3196,4.3246,4.3221,
18-Feb-16,USD,USDGHS,3.8851,3.889,3.8871,
18-Feb-16,Pound Sterling,GBPGHS,5.5813,5.5881,5.5847,
18-Feb-16,Euro,EURGHS,4.3159,4.3191,4.3175,
19-Feb-16,USD,USDGHS,3.8858,3.8896,3.8877,
19-Feb-16,Pound Sterling,GBPGHS,5.5392,5.5462,5.5427,
19-Feb-16,Euro,EURGHS,4.3063,4.3094,4.3079,
22-Feb-16,USD,USDGHS,3.8918,3.8957,3.8938,
22-Feb-16,Pound Sterling,GBPGHS,5.4991,5.5066,5.5029,
22-Feb-16,Euro,EURGHS,4.2918,4.2953,4.2936,
23-Feb-16,USD,USDGHS,3.9021,3.9061,3.9041,
23-Feb-16,Pound Sterling,GBPGHS,5.5059,5.5131,5.5095,
23-Feb-16,Euro,EURGHS,4.2981,4.3014,4.2998,
24-Feb-16,USD,USDGHS,3.9005,3.9045,3.9025,
24-Feb-16,Pound Sterling,GBPGHS,5.4272,5.4335,5.4304,
24-Feb-16,Euro,EURGHS,4.2831,4.2851,4.2841,
25-Feb-16,USD,USDGHS,3.8735,3.8773,3.8754,
25-Feb-16,Pound Sterling,GBPGHS,5.395,5.4015,5.3983,
25-Feb-16,Euro,EURGHS,4.2605,4.2629,4.2617,
26-Feb-16,USD,USDGHS,3.8767,3.8806,3.8787,
26-Feb-16,Pound Sterling,GBPGHS,5.4033,5.4103,5.4068,
26-Feb-16,Euro,EURGHS,4.2509,4.2541,4.2525,
29-Feb-16,USD,USDGHS,3.8761,3.88,3.8781,
29-Feb-16,Pound Sterling,GBPGHS,5.3827,5.3905,5.3866,
29-Feb-16,Euro,EURGHS,4.2171,4.2212,4.2192,
01-Mar-16,USD,USDGHS,3.8721,3.8761,3.8741,
01-Mar-16,Pound Sterling,GBPGHS,5.3927,5.3994,5.3961,
01-Mar-16,Euro,EURGHS,4.2042,4.2065,4.2054,
02-Mar-16,USD,USDGHS,3.8731,3.8769,3.875,
02-Mar-16,Pound Sterling,GBPGHS,5.4409,5.4478,5.4444,
02-Mar-16,Euro,EURGHS,4.1979,4.2006,4.1993,
03-Mar-16,USD,USDGHS,3.866,3.8698,3.8679,
03-Mar-16,Pound Sterling,GBPGHS,5.4503,5.4572,5.4538,
03-Mar-16,Euro,EURGHS,4.2188,4.2215,4.2202,
04-Mar-16,USD,USDGHS,3.8573,3.8612,3.8593,
04-Mar-16,Pound Sterling,GBPGHS,5.47,5.4767,5.4734,
04-Mar-16,Euro,EURGHS,4.243,4.2465,4.2448,
04-Mar-16,USD,USDGHS,3.8573,3.8612,3.8593,
04-Mar-16,Pound Sterling,GBPGHS,5.47,5.4767,5.4734,
04-Mar-16,Euro,EURGHS,4.243,4.2465,4.2448,
08-Mar-16,USD,USDGHS,3.8574,3.8614,3.8594,
08-Mar-16,Pound Sterling,GBPGHS,5.4783,5.4863,5.4823,
08-Mar-16,Euro,EURGHS,4.2573,4.2615,4.2594,
09-Mar-16,USD,USDGHS,3.8458,3.8497,3.8478,
09-Mar-16,Pound Sterling,GBPGHS,5.4587,5.4662,5.4625,
09-Mar-16,Euro,EURGHS,4.2182,4.222,4.2201,
10-Mar-16,USD,USDGHS,3.8488,3.8527,3.8508,
10-Mar-16,Pound Sterling,GBPGHS,5.5065,5.5148,5.5107,
10-Mar-16,Euro,EURGHS,4.2905,4.2963,4.2934,
11-Mar-16,USD,USDGHS,3.8439,3.8477,3.8458,
11-Mar-16,Pound Sterling,GBPGHS,5.5098,5.5172,5.5135,
11-Mar-16,Euro,EURGHS,4.2805,4.2839,4.2822,
14-Mar-16,USD,USDGHS,3.842,3.8458,3.8439,
14-Mar-16,Pound Sterling,GBPGHS,5.5052,5.5122,5.5087,
14-Mar-16,Euro,EURGHS,4.2706,4.273,4.2718,
15-Mar-16,USD,USDGHS,3.8404,3.8443,3.8424,
15-Mar-16,Pound Sterling,GBPGHS,5.4392,5.4462,5.4427,
15-Mar-16,Euro,EURGHS,4.265,4.2689,4.267,
16-Mar-16,USD,USDGHS,3.8411,3.8449,3.843,
16-Mar-16,Pound Sterling,GBPGHS,5.4098,5.4163,5.4131,
16-Mar-16,Euro,EURGHS,4.2497,4.2524,4.2511,
17-Mar-16,USD,USDGHS,3.8451,3.8489,3.847,
17-Mar-16,Pound Sterling,GBPGHS,5.5592,5.5663,5.5628,
17-Mar-16,Euro,EURGHS,4.3472,4.35,4.3486,
18-Mar-16,USD,USDGHS,3.8464,3.8502,3.8483,
18-Mar-16,Pound Sterling,GBPGHS,5.573,5.5789,5.576,
18-Mar-16,Euro,EURGHS,4.3451,4.3467,4.3459,
21-Mar-16,USD,USDGHS,3.8466,3.8504,3.8485,
21-Mar-16,Pound Sterling,GBPGHS,5.5341,5.5411,5.5376,
21-Mar-16,Euro,EURGHS,4.3313,4.3344,4.3329,
22-Mar-16,USD,USDGHS,3.8461,3.85,3.8481,
22-Mar-16,Pound Sterling,GBPGHS,5.468,5.4759,5.472,
22-Mar-16,Euro,EURGHS,4.3178,4.3209,4.3194,
23-Mar-16,USD,USDGHS,3.8326,3.8364,3.8345,
23-Mar-16,Pound Sterling,GBPGHS,5.4105,5.4178,5.4142,
23-Mar-16,Euro,EURGHS,4.2855,4.2886,4.2871,
24-Mar-16,USD,USDGHS,3.8367,3.8407,3.8387,
24-Mar-16,Pound Sterling,GBPGHS,5.4255,5.4331,5.4293,
24-Mar-16,Euro,EURGHS,4.2859,4.2891,4.2875,
29-Mar-16,USD,USDGHS,3.8345,3.8383,3.8364,
29-Mar-16,Pound Sterling,GBPGHS,5.4749,5.4822,5.4786,
29-Mar-16,Euro,EURGHS,4.2917,4.2961,4.2939,
31-Mar-16,USD,USDGHS,3.8346,3.8384,3.8365,
31-Mar-16,Pound Sterling,GBPGHS,5.5126,5.5196,5.5161,
31-Mar-16,Euro,EURGHS,4.3692,4.3727,4.371,
31-Mar-16,USD,USDGHS,3.8346,3.8384,3.8365,
31-Mar-16,Pound Sterling,GBPGHS,5.5126,5.5196,5.5161,
31-Mar-16,Euro,EURGHS,4.3692,4.3727,4.371,
01-Apr-16,USD,USDGHS,3.8285,3.8323,3.8304,
01-Apr-16,Pound Sterling,GBPGHS,5.4292,5.4369,5.4331,
01-Apr-16,Euro,EURGHS,4.3451,4.3506,4.3479,
04-Apr-16,USD,USDGHS,3.8189,3.8227,3.8208,
04-Apr-16,Pound Sterling,GBPGHS,5.4503,5.4565,5.4534,
04-Apr-16,Euro,EURGHS,4.3471,4.3496,4.3484,
05-Apr-16,USD,USDGHS,3.8283,3.8321,3.8302,
05-Apr-16,Pound Sterling,GBPGHS,5.4109,5.4171,5.414,
05-Apr-16,Euro,EURGHS,4.3538,4.3577,4.3558,
06-Apr-16,USD,USDGHS,3.8281,3.8319,3.83,
06-Apr-16,Pound Sterling,GBPGHS,5.3969,5.4034,5.4002,
06-Apr-16,Euro,EURGHS,4.3562,4.3597,4.358,
07-Apr-16,USD,USDGHS,3.8275,3.8313,3.8294,
07-Apr-16,Pound Sterling,GBPGHS,5.3933,5.4002,5.3968,
07-Apr-16,Euro,EURGHS,4.3614,4.3642,4.3628,
08-Apr-16,USD,USDGHS,3.8218,3.8256,3.8237,
08-Apr-16,Pound Sterling,GBPGHS,5.3895,5.3964,5.393,
08-Apr-16,Euro,EURGHS,4.359,4.3618,4.3604,
11-Apr-16,USD,USDGHS,3.8268,3.8306,3.8287,
11-Apr-16,Pound Sterling,GBPGHS,5.4589,5.4659,5.4624,
11-Apr-16,Euro,EURGHS,4.3794,4.3829,4.3812,
12-Apr-16,USD,USDGHS,3.8213,3.8251,3.8232,
12-Apr-16,Pound Sterling,GBPGHS,5.4427,5.4496,5.4462,
12-Apr-16,Euro,EURGHS,4.3524,4.3559,4.3542,
13-Apr-16,USD,USDGHS,3.8276,3.8314,3.8295,
13-Apr-16,Pound Sterling,GBPGHS,5.4421,5.449,5.4456,
13-Apr-16,Euro,EURGHS,4.3191,4.3219,4.3205,
14-Apr-16,USD,USDGHS,3.8226,3.8266,3.8246,
14-Apr-16,Pound Sterling,GBPGHS,5.4086,5.4166,5.4126,
14-Apr-16,Euro,EURGHS,4.3052,4.3088,4.307,
15-Apr-16,USD,USDGHS,3.8213,3.8251,3.8232,
15-Apr-16,Pound Sterling,GBPGHS,5.4217,5.4286,5.4252,
15-Apr-16,Euro,EURGHS,4.3238,4.3273,4.3256,
18-Apr-16,USD,USDGHS,3.8242,3.8282,3.8262,
18-Apr-16,Pound Sterling,GBPGHS,5.4541,5.4621,5.4581,
18-Apr-16,Euro,EURGHS,4.331,4.335,4.333,
19-Apr-16,USD,USDGHS,3.8234,3.8273,3.8254,
19-Apr-16,Pound Sterling,GBPGHS,5.5068,5.5136,5.5102,
19-Apr-16,Euro,EURGHS,4.3481,4.352,4.3501,
20-Apr-16,USD,USDGHS,3.8213,3.8251,3.8232,
20-Apr-16,Pound Sterling,GBPGHS,5.5019,5.5089,5.5054,
20-Apr-16,Euro,EURGHS,4.3308,4.3343,4.3326,
21-Apr-16,USD,USDGHS,3.8155,3.8193,3.8174,
21-Apr-16,Pound Sterling,GBPGHS,5.4699,5.4765,5.4732,
21-Apr-16,Euro,EURGHS,4.3124,4.3163,4.3144,
22-Apr-16,USD,USDGHS,3.8083,3.8121,3.8102,
22-Apr-16,Pound Sterling,GBPGHS,5.4862,5.4929,5.4896,
22-Apr-16,Euro,EURGHS,4.2851,4.2883,4.2867,
25-Apr-16,USD,USDGHS,3.8083,3.8121,3.8102,
25-Apr-16,Pound Sterling,GBPGHS,5.4862,5.4929,5.4896,
25-Apr-16,Euro,EURGHS,4.2851,4.2883,4.2867,
26-Apr-16,USD,USDGHS,3.7921,3.7959,3.794,
